iter	Logloss
0	0.567383648
1	0.4761118966
2	0.4077431875
3	0.3552004771
4	0.3166057012
5	0.2869757644
6	0.2646847978
7	0.2486832568
8	0.2357565115
9	0.2261949653
10	0.2185249798
11	0.2128931656
12	0.2083593458
13	0.2047525797
14	0.2021275802
15	0.2000251602
16	0.1982316742
17	0.1967902513
18	0.1956972813
19	0.1946682865
20	0.1938522456
21	0.193262157
22	0.1928194964
23	0.1923893461
24	0.1920417625
25	0.191700157
26	0.1915008097
27	0.1913322864
28	0.1910958554
29	0.1909147736
30	0.1907502215
31	0.1906166715
32	0.1904095421
33	0.1902590881
34	0.1901367471
35	0.1900109777
36	0.1898924994
37	0.1897682576
38	0.1896191733
39	0.1894772023
40	0.1893633627
41	0.1892609305
42	0.1891902414
43	0.1891374422
44	0.1890526038
45	0.1889565969
46	0.1888768753
47	0.1887946367
48	0.1886979099
49	0.1886071327
50	0.188499215
51	0.1884210727
52	0.1883834836
53	0.188309208
54	0.1882422304
55	0.1881345659
56	0.1880536788
57	0.1879688288
58	0.1879142018
59	0.187870759
60	0.187749693
61	0.1876718442
62	0.1876093092
63	0.187512194
64	0.1874345176
65	0.1873547758
66	0.1872827938
67	0.187229636
68	0.1871764371
69	0.1871147742
70	0.1870569484
71	0.1869925092
72	0.1869341942
73	0.1869068433
74	0.1868352266
75	0.1867966452
76	0.1867038961
77	0.1866053761
78	0.1864913686
79	0.186459592
80	0.186385927
81	0.1863059692
82	0.1862043399
83	0.1861518001
84	0.1860977801
85	0.1860411717
86	0.1859845484
87	0.1859202237
88	0.185844043
89	0.185814403
90	0.1857105853
91	0.1856330001
92	0.1855885327
93	0.1855363071
94	0.185516984
95	0.1854622901
96	0.1853897044
97	0.1853401339
98	0.1852911168
99	0.1852708183
100	0.1851865934
101	0.1851079386
102	0.1850571882
103	0.1849511052
104	0.1848674678
105	0.1848187493
106	0.1847147048
107	0.1846424679
108	0.1845537854
109	0.1845014702
110	0.1844555385
111	0.1843823557
112	0.1843048622
113	0.1842347108
114	0.1841928139
115	0.1841238325
116	0.1840695442
117	0.1840120196
118	0.183962819
119	0.1838798915
120	0.1838307459
121	0.1837780266
122	0.1836960568
123	0.1836372116
124	0.1835532536
125	0.1835089211
126	0.1834518378
127	0.1834260579
128	0.1833610776
129	0.1833235515
130	0.1832351308
131	0.1831850979
132	0.1831163182
133	0.1830679075
134	0.1830003236
135	0.1829310429
136	0.182843537
137	0.1827902332
138	0.1827413382
139	0.1826914071
140	0.182616864
141	0.1825443689
142	0.1824801984
143	0.1824082878
144	0.1823715189
145	0.1823307157
146	0.1822548538
147	0.1822034394
148	0.1821470345
149	0.1820944097
150	0.1820368702
