iter	Logloss
151	0.1819766288
152	0.1819364173
153	0.1818711523
154	0.1817969304
155	0.1817227613
156	0.1816713268
157	0.181576753
158	0.1815003319
159	0.1814432455
160	0.1814104856
161	0.1813590112
162	0.1813220559
163	0.1812481588
164	0.1811936745
165	0.1811043202
166	0.1810066815
167	0.1809380604
168	0.180858656
169	0.1808097562
170	0.1807404655
171	0.1807118168
172	0.1806858034
173	0.1806203897
174	0.180544288
175	0.1804996501
176	0.1804189947
177	0.1803842007
178	0.1803234868
179	0.1802537502
180	0.1801652332
181	0.1801003263
182	0.1800546937
183	0.1799764818
184	0.1799091488
185	0.1798623415
186	0.179795461
187	0.1797564017
188	0.1796804235
189	0.1795963699
190	0.1795315274
191	0.1794809469
192	0.1794394677
193	0.1793898917
194	0.1793302708
195	0.1792881398
196	0.1792149807
197	0.1791552804
198	0.1790561169
199	0.1789959471
200	0.1789230794
201	0.1788324101
202	0.1787475698
203	0.1786623486
204	0.17861208
205	0.1785336662
206	0.1784528363
207	0.178385897
208	0.178342196
209	0.1783177987
210	0.1782708439
211	0.1781757242
212	0.1781348327
213	0.1780934584
214	0.178025556
215	0.1779630779
216	0.1778646274
217	0.1777932471
218	0.1777378648
219	0.1776813306
220	0.1776174411
221	0.177557426
222	0.1775034471
223	0.1774347264
224	0.1773619376
225	0.1773166666
226	0.1772709449
227	0.1772105493
228	0.1771838192
229	0.1771260125
230	0.1770588682
231	0.1769825093
232	0.1769319002
233	0.1768818898
234	0.1768432902
235	0.1767680829
236	0.1767176639
237	0.1766936719
238	0.1766114808
239	0.1765527994
240	0.1764758778
241	0.1764107535
242	0.1763547905
243	0.1762657891
244	0.1762252656
245	0.1761848396
246	0.1761121687
247	0.1760653937
248	0.1760224794
249	0.1759627838
250	0.1759135583
251	0.1758678722
252	0.175814047
253	0.1757821158
254	0.1757037915
255	0.1756605361
256	0.1755764733
257	0.1755124058
258	0.1754602047
259	0.1753938413
260	0.1753545279
261	0.175278306
262	0.1752584494
263	0.1752032525
264	0.1751347331
265	0.1750656284
266	0.1750045284
267	0.1749461231
268	0.174848213
269	0.1747837409
270	0.1747421404
271	0.1746862796
272	0.1746540019
273	0.174617505
274	0.1745794729
275	0.1745370719
276	0.1744952959
277	0.1744475694
278	0.1744016995
279	0.1743625585
280	0.1743236367
281	0.1742991979
282	0.1742198005
283	0.1741463427
284	0.1740931252
285	0.1740560977
286	0.1739903044
287	0.1739457864
288	0.1738951306
289	0.173825521
290	0.1737877248
291	0.173714201
292	0.1736597033
293	0.1736274737
294	0.1736114333
295	0.1735444556
296	0.1734899689
297	0.1734327631
298	0.1734080835
299	0.1733467626
300	0.1733094752
301	0.1732766726
302	0.1732385554
303	0.173180072
304	0.1731322772
305	0.1730738605
306	0.1730543851
307	0.1729837352
308	0.1729381568
309	0.1729262262
310	0.1728965166
311	0.1728546455
312	0.1727823084
313	0.1727417829
314	0.1727001923
315	0.1726466649
316	0.1725769327
317	0.1725193274
318	0.1724793381
319	0.1724308379
320	0.1723880469
321	0.1723550847
322	0.1722920035
323	0.1722437434
324	0.172210332
325	0.1721711622
326	0.1721502213
327	0.1720915368
328	0.1720345136
329	0.172004038
330	0.1719462948
331	0.1718609288
332	0.1718208267
333	0.1717768046
334	0.1717255768
335	0.1716987713
336	0.1716345237
337	0.1715568941
338	0.171525991
339	0.1714810715
340	0.1714485393
341	0.1713641256
342	0.1713369948
343	0.1713101591
344	0.1712415903
345	0.1712002627
346	0.1711100589
347	0.1710813295
348	0.1710410745
349	0.1709760265
350	0.1709178169
351	0.1708735655
352	0.1708121671
353	0.1707970717
354	0.170744716
355	0.1706871184
356	0.1706274697
357	0.1705656346
358	0.1704590041
359	0.1703889827
360	0.1703518229
361	0.1703012698
362	0.1702206517
363	0.1701566064
364	0.1700968111
365	0.170027876
366	0.1699897347
367	0.1699201662
368	0.1698918222
369	0.1698485631
370	0.1698189247
371	0.1697792664
372	0.1697376518
373	0.1696612799
374	0.1696165167
375	0.1695788465
376	0.1695213179
377	0.1694571659
378	0.1694057801
379	0.1693055412
380	0.1692103932
381	0.1691732868
382	0.1690766549
383	0.1690183174
384	0.1689696229
385	0.1689065366
386	0.1688113789
387	0.168787259
388	0.1687219628
389	0.1686537867
390	0.1685766336
391	0.1685271263
392	0.1684881283
393	0.1684312764
394	0.1683825534
395	0.1683376518
396	0.1683165769
397	0.1682801451
398	0.1682463617
399	0.1682153427
400	0.1681538306
401	0.1680947485
402	0.1680518932
403	0.1680183657
404	0.1679776808
405	0.1679394195
406	0.1678735722
407	0.1678166965
408	0.1677837914
409	0.1677391592
410	0.167707511
411	0.1676620805
412	0.1676121425
413	0.1675708808
414	0.167547819
415	0.167472932
416	0.1674253345
417	0.1673732637
418	0.1673111833
419	0.1672429052
420	0.1672064613
421	0.1671741606
422	0.1671323315
423	0.1670782996
424	0.1670153763
425	0.1669680344
426	0.1669172989
427	0.1668802925
428	0.166809587
429	0.1667551068
430	0.1667306092
431	0.1666749703
432	0.1666419629
433	0.1665941287
434	0.1665412369
435	0.1664879366
436	0.1664128271
437	0.1663687157
438	0.1663325434
439	0.1662914717
440	0.1662336519
441	0.1662051299
442	0.1661921086
443	0.1661421387
444	0.1661042022
445	0.1660418676
446	0.1660036867
447	0.1659605749
448	0.1659134555
449	0.1658511744
450	0.1658144673
451	0.1657797407
452	0.1657245146
453	0.1656759399
454	0.1656342873
455	0.1656133829
456	0.1655581559
457	0.165490931
458	0.1654419386
459	0.1653524914
460	0.1653333996
461	0.1652753409
462	0.1652234358
463	0.1651503798
464	0.1650897387
465	0.1650581035
466	0.1650106549
467	0.1649695819
468	0.1649323843
469	0.1648870325
470	0.164865768
471	0.1648354118
472	0.1647959471
473	0.1647538593
474	0.164695724
475	0.1646374599
476	0.164617211
477	0.1645806518
478	0.1645144842
479	0.1644527393
480	0.1643797309
481	0.1643396726
482	0.1643002075
483	0.1642739933
484	0.1642423894
485	0.1642008467
486	0.1641773548
487	0.1641237324
488	0.1640664518
489	0.1640263429
490	0.1639829124
491	0.1639589851
492	0.1639366226
493	0.1638812714
494	0.1638242953
495	0.163789447
496	0.1637368761
497	0.1636937698
498	0.163633751
499	0.1635921622
